TX county,Number of cases,Last updated,Note,Source,
Dallam,4,"March 3, 2025 at 1 PM EST",Texas Department of State Health Services updates data every Tuesday and Friday. All data are provisional.,Texas DSHS
Lubbock,2,,,
Yoakum,6,,,
Terry,21,,,
Lynn,2,,,
Gaines,98,,,
Dawson,8,,,
Martin,3,,,
Ector,2,,,
Dallam,4,"March 6, 2025 at 7 PM EST",,Texas DSHS
Lubbock,3,,,
Yoakum,7,,,
Terry,22,,,
Lynn,2,,,
Gaines,107,,,
Dawson,9,,,
Martin,3,,,
Ector,2,,,
Dallam,5,"March 7, 2025 at 1 PM EST",,Texas DSHS
Lubbock,3,,,
Yoakum,8,,,
Terry,29,,,
Lynn,2,,,
Gaines,137,,,
Dawson,9,,,
Martin,3,,,
Ector,2,,,
Dallam,5,"March 11, 2025 at 2 PM EST",,Texas DSHS
Lubbock,3,,,
Yoakum,10,,,
Terry,32,,,
Lynn,2,,,
Gaines,156,,,
Dawson,10,,,
Martin,3,,,
Ector,2,,,
Dallam,6,"March 14, 2025",,Texas DSHS
Lubbock,4,,,
Yoakum,11,,,
Terry,36,,,
Lynn,2,,,
Gaines,174,,,
Dawson,11,,,
Martin,3,,,
Ector,2,,,
Cochran,6,,,
Lamar,4,,,
Dallam,6,"March 18, 2025",,Texas DSHS
Lubbock,5,,,
Yoakum,11,,,
Terry,36,,,
Lynn,2,,,
Gaines,191,,,
Dawson,11,,,
Martin,3,,,
Ector,2,,,
Cochran,7,,,
Lamar,5,,,
Dallam,6,"March 21, 2025",,Texas DSHS
Lubbock,8,,,
Yoakum,12,,,
Terry,37,,,
Lynn,2,,,
Gaines,211,,,
Dawson,13,,,
Martin,3,,,
Ector,2,,,
Cochran,7,,,
Lamar,5,,,
Garza,1,,,
Hale,1,,,
Hockley,1,,,
Dallam,6,"March 25, 2025",,Texas DSHS
Lubbock,10,,,
Yoakum,13,,,
Terry,37,,,
Lynn,1,,"Note: This total case count dropped by 1 from 3/21",
Gaines,226,,,
Dawson,13,,,
Martin,3,,,
Ector,2,,,
Cochran,7,,,
Lamar,5,,,
Garza,1,,,
Hale,1,,,
Hockley,1,,,
Lamb,1,,,
Dallam,7,"March 28, 2025",,New York Times
Lubbock,23,,,
Yoakum,15,,,
Terry,38,,,
Lynn,1,,,
Gaines,270,,,
Dawson,14,,,
Martin,3,,,
Ector,4,,,
Cochran,8,,,
Lamar,10,,,
Garza,1,,,
Hale,1,,,
Hockley,2,,,
Lamb,1,,,
Andrews,1,,,
Midland,1,,,
Dallam,7,"April 1, 2025",,New York Times
Lubbock,27,,,
Yoakum,18,,,
Terry,41,,,
Lynn,1,,,
Gaines,280,,,
Dawson,14,,,
Martin,3,,,
Ector,5,,,
Cochran,8,,,
Lamar,10,,,
Garza,2,,,
Hale,1,,,
Hockley,2,,,
Lamb,1,,,
Andrews,1,,,
Midland,1,,,
Erath,1,,,
Brown,1,,,
Dallam,7,"April 4, 2025",,https://www.vax-before-travel.com/2025/04/07/489-measles-cases-and-two-pediatric-fatalities-texas
Lubbock,33,,,
Yoakum,17,"Note: This total case count dropped by 1 from 4/1",
Terry,43,,,
Lynn,2,,,
Gaines,315,,,
Dawson,20,,,
Martin,3,,,
Ector,8,,,
Cochran,9,,,
Lamar,11,,,
Garza,2,,,
Hale,3,,,
Hockley,3,,,
Lamb,1,,,
Andrews,1,,,
Brown,1,,,
Midland,1,,,
Erath,1,,,
Dallam,7,"April 8, 2025",,Texas DSHS
Lubbock,36,,,
Yoakum,17,,,
Terry,46,,,
Lynn,2,,,
Gaines,328,,,
Dawson,20,,,
Martin,3,,,
Ector,8,,,
Cochran,10,,,
Lamar,11,,,
Garza,2,,,
Hale,5,,,
Hockley,3,,
Lamb,1,,,
Andrews,1,,,
Midland,1,,,
Erath,1,,,
Brown,1,,,
Midland,1,,,
Erath,1,,,
Borden,1,,
Randall,1,,
