State,Number of cases,Date Updated,Note,Source,
Rhode Island,1,"March 3, 2025",CDC updates data every Friday,"CBS News Webpage",
New Jersey,3,"March 3, 2025",,,
Texas,140,"March 3, 2025",,,
California,3,"March 3, 2025",,,
New Mexico,9,"March 3, 2025",,,
Kentucky,1,"March 3, 2025",,,
Georgia,3,"March 3, 2025",,,
Alaska,2,"March 3, 2025",,,
Rhode Island,1,"March 7, 2025",,,"CBS News Webpage"
New Jersey,3,"March 7, 2025",,,
Texas,194,"March 7, 2025",,,
California,3,"March 7, 2025",,,
New Mexico,10,"March 7, 2025",,,
Kentucky,1,"March 7, 2025",,,
Georgia,3,"March 7, 2025",,,
Alaska,2,"March 7, 2025",,,
Pennsylvania,1,"March 7, 2025",,,
Florida,1,"March 7, 2025",,,
Washington,1,"March 7, 2025",,,
Rhode Island,1,"March 14th, 2025",,"https://web.archive.org/web/20250315205809/https://www.cdc.gov/measles/data-research/",
New Jersey,3,"March 14th, 2025",,,
Texas,244,"March 14th, 2025",,,
California,5,"March 14th, 2025",,,
New Mexico,33,"March 14th, 2025",,,
Kentucky,1,"March 14th, 2025",,,
Georgia,3,"March 14th, 2025",,,
Alaska,2,"March 14th, 2025",,,
Pennsylvania,2,"March 14th, 2025",,,
Florida,1,"March 14th, 2025",,,
Washington,1,"March 14th, 2025",,,
Maryland,1,"March 14th, 2025",,,
New York,1,"March 14th, 2025",,,
Vermont,1,"March 14th, 2025",,,
Rhode Island,1,"March 21, 2025",,"CBS News Webpage",
New Jersey,3,"March 21, 2025",,,
Texas,300,"March 21, 2025",,,
California,6,"March 21, 2025",,,
New Mexico,38,"March 21, 2025",,,
Kentucky,2,"March 21, 2025",,,
Georgia,3,"March 21, 2025",,,
Alaska,2,"March 21, 2025",,,
Pennsylvania,2,"March 21, 2025",,,
Florida,1,"March 21, 2025",,,
Washington,2,"March 21, 2025",,,
Kansas,9,"March 21, 2025",,,
Ohio,1,"March 21, 2025",,,
Michigan,1,"March 21, 2025",,,
Maryland,1,"March 21, 2025",,,
New York,1,"March 21, 2025",,,
Vermont,1,"March 21, 2025",,,
Rhode Island,1,"March 28, 2025",,"CBS News Webpage",
New Jersey,3,"March 28, 2025",,,
Texas,373,"March 28, 2025",,,
California,8,"March 28, 2025",,,
New Mexico,43,"March 28, 2025",,,
Kentucky,2,"March 28, 2025",,,
Georgia,3,"March 28, 2025",,,
Alaska,2,"March 28, 2025",,,
Pennsylvania,4,"March 28, 2025",,,
Florida,1,"March 28, 2025",,,
Washington,2,"March 28, 2025",,,
Kansas,24,"March 28, 2025",,,
Minnesota,1,"March 28, 2025",,,
Tennessee,1,"March 28, 2025",,,
Ohio,6,"March 28, 2025",,,
Michigan,1,"March 28, 2025",,,
Maryland,3,"March 28, 2025",,,
New York,1,"March 28, 2025",,,
Vermont,1,"March 28, 2025",,,
Rhode Island,1,"April 4, 2025",,"CBS News Webpage",
New Jersey,3,"April 4, 2025",,,
Texas,475,"April 4, 2025",,,
California,8,"April 4, 2025",,,
New Mexico,48,"April 4, 2025",,,
Kentucky,2,"April 4, 2025",,,
Georgia,3,"April 4, 2025",,,
Alaska,2,"April 4, 2025",,,
Pennsylvania,6,"April 4, 2025",,,
Florida,1,"April 4, 2025",,,
Washington,3,"April 4, 2025",,,
Colorado,1,"April 4, 2025",,,
Kansas,24,"April 4, 2025",,,
Oklahoma,8,"April 4, 2025",,,
Minnesota,1,"April 4, 2025",,,
Tennessee,4,"April 4, 2025",,,
Ohio,7,"April 4, 2025",,,
Michigan,2,"April 4, 2025",,,
Maryland,3,"April 4, 2025",,,
New York,1,"April 4, 2025",,,
Vermont,1,"April 4, 2025",,,
Rhode Island,1,"April 11, 2025",,"CBS News Webpage",
New Jersey,3,"April 11, 2025",,,
Texas,532,"April 11, 2025",,,
California,9,"April 11, 2025",,,
New Mexico,56,"April 11, 2025",,,
Kentucky,2,"April 11, 2025",,,
Georgia,3,"April 11, 2025",,,
Alaska,2,"April 11, 2025",,,
Pennsylvania,9,"April 11, 2025",,,
Florida,1,"April 11, 2025",,,
Washington,4,"April 11, 2025",,,
Colorado,3,"April 11, 2025",,,
Kansas,32,"April 11, 2025",,,
Oklahoma,8,"April 11, 2025",,,
Minnesota,1,"April 11, 2025",,,
Tennessee,4,"April 11, 2025",,,
Ohio,21,"April 11, 2025",,,
Michigan,5,"April 11, 2025",,,
Maryland,3,"April 11, 2025",,,
New York,1,"April 11, 2025",,,
Vermont,1,"April 11, 2025",,,
Indiana,6,"April 11, 2025",,,
Arkansas,1,"April 11, 2025",,,
Hawaii,1,"April 11, 2025",,,
Rhode Island,1,"April 18, 2025",,"CBS News Webpage",
New Jersey,3,"April 18, 2025",,,
Texas,590,"April 18, 2025",,,
California,9,"April 18, 2025",,,
New Mexico,63,"April 18, 2025",,,
Kentucky,2,"April 18, 2025",,,
Georgia,3,"April 18, 2025",,,
Alaska,2,"April 18, 2025",,,
Pennsylvania,9,"April 18, 2025",,,
Florida,1,"April 18, 2025",,,
Washington,4,"April 18, 2025",,,
Colorado,3,"April 18, 2025",,,
Kansas,37,"April 18, 2025",,,
Oklahoma,9,"April 18, 2025",,,
Minnesota,2,"April 18, 2025",,,
Tennessee,6,"April 18, 2025",,,
Ohio,32,"April 18, 2025",,,
Michigan,7,"April 18, 2025",,,
Maryland,3,"April 18, 2025",,,
New York,1,"April 18, 2025",,,
Vermont,1,"April 18, 2025",,,
Indiana,6,"April 18, 2025",,,
Arkansas,2,"April 18, 2025",,,
Hawaii,1,"April 18, 2025",,,
Rhode Island,1,"April 25, 2025",,"CBS News Webpage",
