Date,Cumulative_cases,Daily_cases
1/17/2025,2,2
1/18/2025,2,0
1/19/2025,2,0
1/20/2025,2,0
1/21/2025,2,0
1/22/2025,2,0
1/23/2025,2,0
1/24/2025,2,0
1/25/2025,2,0
1/26/2025,2,0
1/27/2025,2,0
1/28/2025,2,0
1/29/2025,2,0
1/30/2025,2,0
1/31/2025,2,0
2/1/2025,2,0
2/2/2025,2,0
2/3/2025,2,0
2/4/2025,2,0
2/5/2025,6,4
2/6/2025,6,0
2/7/2025,10,4
2/8/2025,10,0
2/9/2025,10,0
2/10/2025,10,0
2/11/2025,24,14
2/12/2025,24,0
2/13/2025,24,0
2/14/2025,48,24
2/15/2025,48,0
2/16/2025,48,0
2/17/2025,48,0
2/18/2025,58,10
2/19/2025,58,0
2/20/2025,58,0
2/21/2025,90,32
2/22/2025,90,0
2/23/2025,90,0
2/24/2025,90,0
2/25/2025,124,34
2/26/2025,124,0
2/27/2025,124,0
2/28/2025,146,22
3/1/2025,146,0
3/2/2025,146,0
3/3/2025,158,12
3/4/2025,159,1
3/5/2025,159,0
3/6/2025,159,0
3/7/2025,198,39
3/8/2025,198,0
3/9/2025,198,0
3/10/2025,198,0
3/11/2025,223,25
